Code,Code,Label
1532,"Manage individual staff and team performance and development through ensuring clear objectives, KPIs and training opportunities are available, ensuring coaching for those requiring further support to ensure excellence in delivery across the service.",Response B
1532,"Lead the service underpinned by high standards of professionalism ensuring university values and behaviours are instilled across the service, actively developing relationships within and across teams managed and those which interface with Careers+Placements.",Response B
1532,"Consider appropriate structures and delivery methods to LTUs careers education, developing proposals regarding Careers+Placements infrastructure and future delivery approaches including, face to face, blended and digital to ensure the institution remains innovative in CEIAG, Placement and Work Based Learning delivery.",Response C
1532,"Benchmarking and sector scanning within the UK and overseas, to identify innovation, and cutting edge delivery preparing business cases to create a world leading service.",Response C
1532,"Work collaboratively and in a consultative manner with Heads of School and in partnership with the Centre for Excellence in Learning and Teaching to review our careers curriculum considering how employability, careers education, information and advice and experiential learning can be further embedded innovatively across and within the curriculum.",Response C
1532,Lead and establish internal networks to ensure the delivery of the C+P strategic priorities and agenda to support the achievement of university KPIs.,Response C
1532,"Ensure a career-led approach to employer engagement, considering innovative engagement approaches with a range of organisations to provide a breadth of opportunities through taking a consultative and partnership approach.",Response C
1532,"Proactively undertake industry engagement, working with the LEP, Local Authorities, Chamber of Commerce and other local bodies across the region. Ensuring collaborative approaches with key leaders such as the Head of Business Development.",Response C
1405,"To direct, manage and monitor grounds staff regarding attendance, performance, work practices and health and safety provisions.",Response D
1405,"To plan, organise and implement annual programmes of work (ppm and reactive works) in accordance with departmental strategy and wider University requirements for the team.",Response D
1405,"To plan, organise and implement specific minor projects as directed relating to the development of the estate, particularly Grounds, Equipment and associated Sports facilities.",Response D
1405,"To manage and maintain the Sports fields to the appropriate standards to include sanding, seeding and marking out as required.",Response D
1405,To organise and manage environmental bio-diversity programmes and site works as required.,Response D
1405,"To supervise the hard and soft landscaping to include planting of trees, shrubs, plants and water features.",Response D
1405,"To ensure that grass trimming, weeding, edging and spraying is carried out as required to ensure an attractive environment.",Response D
1405,To oversee and ensure the correct usage of any mechanised plant or hand equipment. To ensure that grounds staff are trained in the use of such equipment and are aware of safety rules.,Response D
1405,To prepare risk assessments and method statements for work activities to ensure accountability for health and safety of staff.,Response D
1405,"To ensure that all mechanical equipment is cleaned and serviced regularly, undertaking repairs/maintenance where appropriate and making arrangements for repairs to be carried out as necessary.",Response D
1405,"To keep abreast of relevant developments in health and safety, to contribute to the development of departmental health and safety practice, to ensure that grounds staff observe all necessary Health and Safety Regulations, and to keep training records and provide training where necessary.",Response D
1405,To supervise and ensure the roads and paths are clear of snow and ice ready for the morning access to the University.,Response D
1405,"To oversee Health and Safety, Weather related site checks  visits to site, monitoring of weather camera to plan for team activities carried out of hours.",Response D
1405,To supervise the University grounds and paved/tarmac areas are kept clear of rubbish and swept daily.,Response D
1405,To undertake and manage the Performance Development Reviews of grounds staff and KPI measurements of the team.,Response D
1405,To provide management and guidance of Agency personnel when required to supplement the current team.,Response D
1405,"To organise and provide specialist training courses including Askham Bryan College, weed control, chainsaw cutting.",Response D
1405,"To supervise the Maintenance and repair of Activity areas including new synthetic, 3G pitches.",Response D
1405,To support and guide the team by carrying out a section of the overall ppm / reactive works schedule as a working supervisor.,Response D
1405,"Utilising the in-house CAFM system  distribute recorded activities to the team, provide training to staff on the system, support the compliance programme, uploading completed works onto the system to provide a documented record of activities.",Response D
1357,"Provide strategic leadership of the Health and Safety function across the University. Develop culture around Health and Safety, raising the Health and Safety profile by being the Universitys senior advisor on all Health and Safety related matters and develop, maintain and promote safe systems of work across a broad spectrum of activity within approved risk management and assurance frameworks",Response B
1357,"To lead and oversee the development, review and maintenance of the University's Health and Safety Policy, supporting policies, procedures, approved codes of practice and safe working methods, to ensure legislative compliance in line with current legislation, regulation, and industry standards.",Response B
1357,"To lead and develop a University Health and Safety Management Action Plan  HASMAP, regularly reporting progress to the University Health and Safety Committee and to update the University Executive and leadership team as appropriate.",Response B
1357,"To monitor Key Performance Indicators (KPI's) and updates in line legal requirements and compliance, communicating these matters to relevant groups and sub-groups including the University Executive Team, Leadership Team, Health and Safety Committee and Audit Committee as required.",Response B
1357,"To lead and oversee the development, review and maintenance of the University's Business Continuity Management planning, policies, procedures and critical incident management system, training and developing staff at all levels of the organisation and to be a key lead in the event of any critical incident in terms of response, coordination, recovery, review, and continuous improvement.",Response B
1357,"To develop strong working relationships and management systems with Leaders in other University services that have a specific role in maintaining the Health and Safety performance e.g. the Director of Estates and their technical services staff, leaders who manage student placement activities and to develop a culture of compliance and continuous improvement across the organization.",Response B
1357,"To take an active role in the promotion and management of Occupational Health and Wellbeing, ensuring the Health and Safety services takes a proactive and supportive role in the management and implementation of reasonable adjustments required by staff and students where these adjustments related to health and safety.",Response C
1357,"Develop and lead the Health and Safety internal audit programme to ensure compliance with all University policies, management systems and agreed standards, to oversee any associated remedial and preventative action plans and recommend areas for improvement.",Response B
1357,"Provide risk management leadership and support, including the review of all risk assessment and method statements (RAMS) produced by the University including regular monitoring and basement of high-risk activities against the RAMs.",Response B
1357,"To lead and oversee the development, implementation, and monitoring of the Universitys fire safety arrangements, including fire drills.",Response B
1357,"Maintain up-to-date knowledge and awareness of emerging health and safety legislation, approved codes of practice, guidance, and best practice, via participation in sector-wide interest groups, publications, conferences, and seminars.",Response C
1357,"Lead on the design and delivery of a programme of health and safety training, tailoring it as appropriate to meet the different needs of various audiences (senior management, line managers, staff) to ensure an up-to-date level of health and safety competence across the university. and to evaluate the effectiveness of these interventions.",Response B
1357,"Liaise with appropriate staff and, in particular, Trade Union Representatives, School / Departmental Health and Safety Coordinators, on the undertaking of site inspections, identification of hazards and the assessment of risk in the University.",Response C
1357,"To conduct and/or oversee the investigation of accidents and dangerous occurrences ensuring that the University complies fully with legal reporting requirements, ensuring learning from incidents is shared across the university to promote continuous improvement.",Response B
1357,Support the Chief Operating Officer to monitor sector good practice through recognised networks such as the Universities Safety and Health Association (USHA) and national working groups.,Response B
1409,"This is a key new role designed to lead on the move to a comprehensive strategic business partnering culture. To take a lead role and to lead others in the financial management performance and reporting of the University. To include specific responsibility for planning and forecasting, including workforce planning, liaison with key stakeholders both internally and externally, cashflow management including capital projects and monthly management accounts. The postholder will also make key contributions to the development, implementation, monitoring and review of the University is financial strategy.",Response B
1409,To manage the management accounts and business partnering staff on a day-to-day basis with an emphasis on quality process and outcomes and to ensure the team is able to meet the changing needs of the University.,Response B
1409,Management and development of staff within the management accounts/business partnering team.,Response B
1409,To take responsibility for the day-to-day management of the Universitys strategic workforce planning process working closely alongside the business partnering function in HR.,Response B
1409,Oversee and develop the Business Partnering relationships of the team with university stakeholders and to seek continuous improvement in the service. To include developing and working alongside key stakeholders in HR and Planning and Information as part of a comprehensive and strategic business partnering culture.,Response B
1409,Facilitating training to budget holders and staff with financial responsibility to enable them to undertake their responsibility in an effective manner.,Response C
1409,"Provision of management information, analysis, forecasts, technical input, advice, and reports to senior University managers.",Response B
1409,To produce a set of monthly management accounts papers in line with the departments reporting timetable.,Response D
1409,To prepare annual budgets and published accounts.,Response D
1409,"Representing the Finance Office on internal working groups, project teams and committees and providing proactive advice to the senior managers on key risks and financial outcomes at project, business unit and corporate levels.",Response B
1409,"Responsibility for the maintenance, update and reporting of the universitys financial forecasting and modelling processes to meet internal and external stakeholder requirements.",Response B
1409,"To provide any other financial management information required by Governors, senior staff, individuals and operational groups in an accurate and timely manner.",Response D
1409,To co-ordinate and lead on the provision of accurate and timely information to internal and external auditors.,Response C
1409,To contribute to continuing improvements to management and financial systems and to the maintenance of effective administration.,Response D
1409,"To assume responsibility for specific projects and areas of operation as identified by the Deputy Director of Finance, to include but not limited to:",Response D
1409,To deputise for the Deputy Director of Finance as required.,Response B
